repo_url,repo_name,chart_path,error
https://github.com/rancher/rancher,rancher/rancher,D:\helm_clones_github\rancher__rancher\chart,Error: cannot load Chart.yaml: error converting YAML to JSON: yaml: line 4: found character that cannot start any token
https://github.com/refly-ai/refly,refly-ai/refly,D:\helm_clones_github\refly-ai__refly\deploy\helm\refly-stack,"Error: no repository definition for https://charts.bitnami.com/bitnami, https://charts.bitnami.com/bitnami. Please add the missing repos via 'helm repo add'"
https://github.com/linode/apl-core,linode/apl-core,D:\helm_clones_github\linode__apl-core\chart\chart-index,"Getting updates for unmanaged Helm repositories...
...Successfully got an update from the ""https://linode.github.io/cloud-firewall-controller"" chart repository
...Successfully got an update from the ""https://prometheus-msteams.github.io/prometheus-msteams/"" chart repository
...Successfully got an update from the ""https://kubernetes-sigs.github.io/metrics-server"" chart repository
...Successfully got an update from the ""https://cdfoundation.github.io/tekton-helm-chart/"" chart repository
...Successfully got an update from the ""https://knative.github.io/operator"" chart repository
...Successfully got an update from the ""https://kubernetes-sigs.github.io/external-dns"" chart repository
...Successfully got an update from the ""https://bitnami-labs.github.io/sealed-secrets/"" chart repository
...Successfully got an update from the ""https://kyverno.github.io/policy-reporter"" chart repository
...Successfully got an update from the ""https://aquasecurity.github.io/helm-charts/"" chart repository
...Successfully got an update from the ""https://oauth2-proxy.github.io/manifests"" chart repository
...Successfully got an update from the ""https://codecentric.github.io/helm-charts"" chart repository
...Successfully got an update from the ""https://kyverno.github.io/kyverno/"" chart repository
...Successfully got an update from the ""https://cloudnative-pg.github.io/charts"" chart repository
...Successfully got an update from the ""https://charts.jetstack.io"" chart repository
...Successfully got an update from the ""https://open-telemetry.github.io/opentelemetry-helm-charts"" chart repository
...Successfully got an update from the ""https://argoproj.github.io/argo-helm"" chart repository
...Successfully got an update from the ""https://dl.gitea.io/charts"" chart repository
...Successfully got an update from the ""https://helm.goharbor.io"" chart repository
...Successfully got an update from the ""https://grafana.github.io/helm-charts"" chart repository
...Successfully got an update from the ""https://prometheus-community.github.io/helm-charts"" chart repository
...Successfully got an update from the ""https://charts.external-secrets.io"" chart repository
...Successfully got an update from the ""https://istio-release.storage.googleapis.com/charts"" chart repository
...Successfully got an update from the ""https://charts.bitnami.com/bitnami"" chart repository
Saving 31 charts
Downloading argo-cd from repo https://argoproj.github.io/argo-helm
Downloading argocd-image-updater from repo oci://ghcr.io/argoproj/argo-helm/argocd-image-updater
Save error occurred:  could not download oci://ghcr.io/argoproj/argo-helm/argocd-image-updater/argocd-image-updater: failed to perform ""FetchReference"" on source: GET ""https://ghcr.io/v2/argoproj/argo-helm/argocd-image-updater/argocd-image-updater/manifests/1.1.5"": GET ""https://ghcr.io/token?scope=repository%3Aargoproj%2Fargo-helm%2Fargocd-image-updater%2Fargocd-image-updater%3Apull&service=ghcr.io"": response status code 403: denied: requested access to the resource is denied
Error: could not download oci://ghcr.io/argoproj/argo-helm/argocd-image-updater/argocd-image-updater: failed to perform ""FetchReference"" on source: GET ""https://ghcr.io/v2/argoproj/argo-helm/argocd-image-updater/argocd-image-updater/manifests/1.1.5"": GET ""https://ghcr.io/token?scope=repository%3Aargoproj%2Fargo-helm%2Fargocd-image-updater%2Fargocd-image-updater%3Apull&service=ghcr.io"": response status code 403: denied: requested access to the resource is denied"
https://github.com/cozystack/cozystack,cozystack/cozystack,D:\helm_clones_github\cozystack__cozystack\packages\apps\bucket,Error: error unpacking subchart cozy-lib in bucket: Chart.yaml file is missing
https://github.com/grafana/helm-charts,grafana/helm-charts,D:\helm_clones_github\grafana__helm-charts\charts\enterprise-metrics,"Getting updates for unmanaged Helm repositories...
...Successfully got an update from the ""https://helm.min.io/"" chart repository
...Successfully got an update from the ""https://charts.bitnami.com/bitnami"" chart repository
Error: minio chart not found in repo https://helm.min.io/"
https://github.com/norwoodj/helm-docs,norwoodj/helm-docs,D:\helm_clones_github\norwoodj__helm-docs\example-charts\custom-template,Error: no repository definition for @stable. Please add them via 'helm repo add'
https://github.com/securitybunker/databunker,securitybunker/databunker,D:\helm_clones_github\securitybunker__databunker\charts\databunker,"Error: no repository definition for https://charts.bitnami.com/bitnami, https://charts.bitnami.com/bitnami. Please add the missing repos via 'helm repo add'"
https://github.com/WeBankFinTech/Prophecis,WeBankFinTech/Prophecis,D:\helm_clones_github\WeBankFinTech__Prophecis\install\Prophecis,"Error: cannot load values.yaml: error reading yaml document: invalid Yaml document separator: --END RSA PRIVATE KEY-----"""
https://github.com/rancher/charts,rancher/charts,D:\helm_clones_github\rancher__charts\charts\epinio\102.0.1+up1.6.2,Error: the lock file (Chart.lock) is out of sync with the dependencies file (Chart.yaml). Please update the dependencies with 'helm dependency update'
https://github.com/cloudnativeapp/charts,cloudnativeapp/charts,D:\helm_clones_github\cloudnativeapp__charts\curated\airflow,"level=INFO msg=""warning: a valid Helm v3 hash was not found. Checking against Helm v2 hash...""
Error: the lock file (requirements.lock) is out of sync with the dependencies file (requirements.yaml). Please update the dependencies"
https://github.com/BigKAA/youtube,BigKAA/youtube,D:\helm_clones_github\BigKAA__youtube\tracing\for_admins\charts\jaeger\jaeger,"Error: no repository definition for https://charts.helm.sh/incubator, https://helm.elastic.co, https://charts.bitnami.com/bitnami, https://charts.bitnami.com/bitnami. Please add the missing repos via 'helm repo add'"
https://github.com/radondb/radondb-mysql-kubernetes,radondb/radondb-mysql-kubernetes,D:\helm_clones_github\radondb__radondb-mysql-kubernetes\charts\mysql-operator,Error: directory D:\helm_clones_github\radondb__radondb-mysql-kubernetes\charts\mysql-operator\charts\mysqlcluster not found
https://github.com/IBM/charts,IBM/charts,D:\helm_clones_github\IBM__charts\community\artifactory-ha,"level=INFO msg=""warning: a valid Helm v3 hash was not found. Checking against Helm v2 hash...""
Error: no repository definition for https://kubernetes-charts.storage.googleapis.com/. Please add the missing repos via 'helm repo add'"
https://github.com/JahstreetOrg/spark-on-kubernetes-helm,JahstreetOrg/spark-on-kubernetes-helm,D:\helm_clones_github\JahstreetOrg__spark-on-kubernetes-helm\charts\cluster-base,"level=INFO msg=""warning: a valid Helm v3 hash was not found. Checking against Helm v2 hash...""
Error: no repository definition for https://kubernetes.github.io/ingress-nginx, https://charts.jetstack.io, https://charts.helm.sh/stable, https://charts.helm.sh/stable. Please add the missing repos via 'helm repo add'"
https://github.com/vexxhost/atmosphere,vexxhost/atmosphere,D:\helm_clones_github\vexxhost__atmosphere\charts\barbican,"level=INFO msg=""Warning: Dependency locking is handled in Chart.lock since apiVersion \""v2\"". We recommend migrating to Chart.lock.""
Error: no repository definition for https://tarballs.openstack.org/openstack-helm. Please add the missing repos via 'helm repo add'"
https://github.com/unixhot/devops-x,unixhot/devops-x,D:\helm_clones_github\unixhot__devops-x\helm\gitlab,"level=INFO msg=""warning: a valid Helm v3 hash was not found. Checking against Helm v2 hash...""
Error: the lock file (requirements.lock) is out of sync with the dependencies file (requirements.yaml). Please update the dependencies"
https://github.com/rancher/rke2-charts,rancher/rke2-charts,D:\helm_clones_github\rancher__rke2-charts\packages\rke2-cilium-legacy\charts,Error: directory D:\helm_clones_github\rancher__rke2-charts\packages\rke2-cilium-legacy\charts\charts\cilium not found
https://github.com/stackrox/helm-charts,stackrox/helm-charts,D:\helm_clones_github\stackrox__helm-charts\3.0.41.0,"Error: validation: chart.metadata.version ""3.0.41.0"" is invalid"
https://github.com/project-sunbird/sunbird-devops,project-sunbird/sunbird-devops,D:\helm_clones_github\project-sunbird__sunbird-devops\kubernetes\helm_charts\monitoring\oauth2-proxy,Error: no repository definition for https://charts.bitnami.com/bitnami. Please add the missing repos via 'helm repo add'
https://github.com/rancher/partner-charts,rancher/partner-charts,D:\helm_clones_github\rancher__partner-charts\charts\amd\amd-gpu\0.10.0,Error: the lock file (Chart.lock) is out of sync with the dependencies file (Chart.yaml). Please update the dependencies with 'helm dependency update'
https://github.com/CARV-ICS-FORTH/frisbee,CARV-ICS-FORTH/frisbee,D:\helm_clones_github\CARV-ICS-FORTH__frisbee\charts\platform,Error: the lock file (Chart.lock) is out of sync with the dependencies file (Chart.yaml). Please update the dependencies with 'helm dependency update'
https://github.com/wikibook/kubepractice,wikibook/kubepractice,D:\helm_clones_github\wikibook__kubepractice\ch06\nginx-12.0.0,Error: no repository definition for https://charts.bitnami.com/bitnami. Please add the missing repos via 'helm repo add'
https://github.com/pluralsh/plural-artifacts,pluralsh/plural-artifacts,D:\helm_clones_github\pluralsh__plural-artifacts\airbyte\helm\airbyte,Error: directory D:\helm_clones_github\airbyte\charts\airbyte not found
https://github.com/tmforum-oda/oda-canvas,tmforum-oda/oda-canvas,D:\helm_clones_github\tmforum-oda__oda-canvas\charts\observability-stack,"Error: no repository definition for https://prometheus-community.github.io/helm-charts, https://open-telemetry.github.io/opentelemetry-helm-charts, https://jaegertracing.github.io/helm-charts. Please add the missing repos via 'helm repo add'"
https://github.com/sa-mw-dach/bobbycar,sa-mw-dach/bobbycar,D:\helm_clones_github\sa-mw-dach__bobbycar\helm\bobbycar-core-infra,Error: no repository definition for https://drogue-iot.github.io/drogue-cloud-helm-charts/. Please add the missing repos via 'helm repo add'
https://github.com/boozallen/aissemble,boozallen/aissemble,D:\helm_clones_github\boozallen__aissemble\foundation\foundation-archetype\src\main\resources\archetype-resources\__rootArtifactId__-deploy\src\main\resources\apps\common-infrastructure,"Error: validation: chart.metadata.version ""${version}"" is invalid"
https://github.com/tkestack/charts,tkestack/charts,D:\helm_clones_github\tkestack__charts\incubator\airflow,"level=INFO msg=""warning: a valid Helm v3 hash was not found. Checking against Helm v2 hash...""
Error: no repository definition for https://kubernetes-charts.storage.googleapis.com/, https://kubernetes-charts.storage.googleapis.com/. Please add the missing repos via 'helm repo add'"
https://github.com/sapcc/helm-charts,sapcc/helm-charts,D:\helm_clones_github\sapcc__helm-charts\common\inventory-updater,"Saving 1 charts
Downloading owner-info from repo oci://keppel.eu-de-1.cloud.sap/ccloud-helm
Save error occurred:  could not download oci://keppel.eu-de-1.cloud.sap/ccloud-helm/owner-info: failed to perform ""FetchReference"" on source: Get ""https://keppel.eu-de-1.cloud.sap/v2/ccloud-helm/owner-info/manifests/0.2.0"": dial tcp: lookup keppel.eu-de-1.cloud.sap: getaddrinfow: Este é geralmente um erro temporário durante a resolução de nomes de anfitrião e significa que o servidor local não recebeu uma resposta de um servidor autoritário.
Error: could not download oci://keppel.eu-de-1.cloud.sap/ccloud-helm/owner-info: failed to perform ""FetchReference"" on source: Get ""https://keppel.eu-de-1.cloud.sap/v2/ccloud-helm/owner-info/manifests/0.2.0"": dial tcp: lookup keppel.eu-de-1.cloud.sap: getaddrinfow: Este é geralmente um erro temporário durante a resolução de nomes de anfitrião e significa que o servidor local não recebeu uma resposta de um servidor autoritário."
https://github.com/platyplus/platyplus,platyplus/platyplus,D:\helm_clones_github\platyplus__platyplus\charts\hasura,"Error: no repository definition for https://charts.bitnami.com/bitnami, https://charts.bitnami.com/bitnami. Please add the missing repos via 'helm repo add'"
https://github.com/opendevstack/ods-quickstarters,opendevstack/ods-quickstarters,D:\helm_clones_github\opendevstack__ods-quickstarters\be-rust-axum\rust-template\chart,"Error: cannot load Chart.yaml: error converting YAML to JSON: yaml: invalid map key: map[interface {}]interface {}{""project-name"":interface {}(nil)}"
https://github.com/k8s-home-lab/helm-charts,k8s-home-lab/helm-charts,D:\helm_clones_github\k8s-home-lab__helm-charts\unmaintained\audiobookshelf,"Getting updates for unmanaged Helm repositories...
...Successfully got an update from the ""https://library-charts.k8s-at-home.com"" chart repository
Error: can't get a valid version for 1 subchart(s): ""common"" (repository ""https://library-charts.k8s-at-home.com"", version ""4.5.3""). Make sure a matching chart version exists in the repo, or change the version constraint in Chart.yaml"
